company_name,about,website,email,investor_names,location/hq,lead/follow,initial_check_size,hardware/software,primary_stage_focus,initial_ownership_target,b2b/b2c/b2b2c,can_also_enter_at,investment_focus,does_not_invest_in,linkedin,crunchbase
20Sales,We have mastered Go-To-Market execution over decades. We have scaled companies from pre-revenue to billions. We partner with exceptional founders to do the same. **We are the no-brainer $100K+ check** for the best B2B founders raising Seed and Series A. Your chances of being successful are significantly higher with us on your cap table.,https://www.20sales.vc/,hello@20sales.vc,"Jessica Arnold, Kelly Bray, Liat Bycel, Stevie Case, Kim Graves, Renu Gupta, Maggie Hott, Lauren Schwartz",California,Mostly Follow,"$100-250k
$250-500k",Agnostic,"Pre-Seed
Seed
Series A",-,Agnostic,-,Generalist,-,https://www.linkedin.com/company/20sales/,https://www.crunchbase.com/organization/20sales
25madison,"25madison is a Venture Platform, co-incubating ideas, investing in early-stage startups, and propelling brands into their next phase of growth.",https://www.25madison.com/,thomas@25madison.com,"Grant Silow, Jaja Liao, Steven Price, Matt Fremont-Smith, John Daly",New York,Mostly Lead,-,Agnostic,"Pre-Seed
Seed",-,-,-,"SaaS
Financial Services / Payments
Healthcare
E-Commerce
Social / Communities",-,https://www.linkedin.com/company/25madison/,https://www.crunchbase.com/organization/25madison
43.io,We’re a group of pre-product investors that roll our sleeves up to help founders reach product/market fit.,https://43.io/,warm intro,"Dustin Dolginow, Anabel Lippincott Paksoy, Soso Sazesh",California,Mostly Lead,$250-500k,Software / Code,Pre-Seed,5-7%,Agnostic,-,-,"No CPG, services or e-com",https://www.linkedin.com/company/forty-three/,https://www.crunchbase.com/organization/43
186 Ventures,"186 Ventures is a pre-seed & seed stage VC firm based in Boston investing across consumer, enterprise, and disruptive tech. We are generalist investors that bring full operational & strategic support and an unparalleled network to founders, beginning at the earliest stages of building a high growth tech business. Founded in 2019, our portfolio spans 30+ high growth technology companies across multiple industries.",https://www.186ventures.com/,hello@186ventures.com,"Giuseppe Stuto, Julian Fialkow",Massachusetts,Can Lead,$500k-1m,Agnostic,"Pre-Seed
Seed","5-7%
7-10%",Agnostic,-,Generalist,-,https://www.linkedin.com/company/186ventures/,https://www.crunchbase.com/organization/186-ventures
412 Venture Fund,"We know what it takes to build and scale an early stage tech company. We help early stage companies go further, faster.",http://412venturefund.com/,info@412venturefund.com,"Ilana Diamond, Lloyd Myers, Andy Rabin, Evan Segal",Pennsylvania,Mostly Follow,-,Software / Code,"Pre-Seed
Seed
Series A",-,-,-,"AI / ML
Data & Analytics
Marketplaces",-,https://www.linkedin.com/company/412-venture-fund-lp,https://www.crunchbase.com/organization/412-venture-fund
645 Ventures,645 partners with exceptional founders at Seed/Series A to build iconic companies that scale to the growth stage.,http://www.645ventures.com/,ideas@645ventures.com,"Aaron Holiday, Nnamdi Okike, Vardan Gattani",New York,Mostly Lead,-,Agnostic,"Seed
Series A",-,-,-,"SaaS
Consumer Goods
Privacy & Security
E-Commerce
Real Estate
Marketplaces
Food & Beverages
Hardware
Supply Chain & Logistics",-,https://www.linkedin.com/company/645-ventures,https://www.crunchbase.com/organization/645-ventures
1414 Ventures,Backing pre-seed and seed stage founders focused on creating innovative digital identity solutions.,https://www.1414ventures.com/,Contact@1414ventures.com,"Jackie Shoback, Claire Wadlington, Michael Engle",California,Mostly Follow,"$100-250k
$25-100k",Software / Code,"Pre-Seed
Seed",No Target,B2C,Series A,"Data & Analytics
AI / ML
Consumer Goods
Financial Services / Payments
Gaming",-,https://www.linkedin.com/company/1414ventures/,https://www.crunchbase.com/organization/1414-ventures
1517 Fund,"1517 is a venture capital fund and community supporting college dropouts, renegade students, and deep tech scientists (will drop their dropout thesis for deep science) with investment at the earliest stages of their companies.",http://www.1517fund.com/,info@1517fund.com,"Michael Gibson, Danielle Strachman, Zak Slayback, Nick Arnett",Colorado,"Mostly Lead
Can Lead","$100-250k
$250-500k",Agnostic,Pre-Seed,"5-7%
7-10%",Agnostic,Seed,"AI / ML
Biotech
Education
Energy
Financial Services / Payments
Hardware
Healthcare
Industrial & Manufacturing
Marketplaces
SaaS
Supply Chain & Logistics
Web3 / Blockchain
Privacy & Security",-,https://www.linkedin.com/company/1517fund/,https://www.crunchbase.com/organization/1517-fund
1984 Ventures,We invest in founders using software to solve real problems.,http://1984.vc/,team@1984.vc,"Ramy Adeeb, Aaron Michel, Samit Kalra, Farzad Soleimani",California,Mostly Follow,-,Agnostic,"Seed
Series A",-,-,-,"Financial Services / Payments
AI / ML
Healthcare
E-Commerce
Hardware
Real Estate
SaaS
Consumer Goods
Marketplaces",-,https://www.linkedin.com/company/1984-ventures/,https://www.crunchbase.com/organization/1984-ventures
2048 Ventures,"We are a thesis-driven investor and invest in next generation platforms — APIs, data, infrastructure, marketplaces, and specific types of vertical SaaS.

We are currently focused on Biotechnology, Digital Health, AI/ML, Robotics, AR/VR, IoT, Hardware, Blockchain, Climate, Energy, Space, Mobility, Logistics, Security, and Developer Tools.",https://www.2048.vc/,http://2048.vc/pitch,"Alex Iskold, Neha Khera, Zann Ali, Julie Wolf",New York,Mostly Lead,"$500k-1m
$1-3m",Agnostic,Pre-Seed,"7-10%
10-12%",Agnostic,Seed,"Biotech
Healthcare
AI / ML
Web3 / Blockchain
CleanTech / Impact / Sustainability
Energy
Supply Chain & Logistics
IaaS
Privacy & Security
SaaS
E-Commerce
Gaming",-,https://www.linkedin.com/company/2048vc/,https://www.crunchbase.com/organization/2048-ventures
8090 Industries,We partner with the largest industry leaders of the world today to invest in and accelerate the category-leading industrial giants of tomorrow.,https://www.8090industries.com/,-,"Kerem Ozmen, Rayyan Islam, Filip Vurdelja",New York,Mostly Follow,-,Agnostic,Growth,-,-,-,"Energy
CleanTech / Impact / Sustainability
Hardware",-,https://www.crunchbase.com/organization/8090-industries,
A.Capital Ventures,"a\_capital provides resources and counsel to the creators, inventors and entrepreneurs who are building a new future.",http://www.acapital.com/,-,"Ronny Conway, Ramu Arunachalam, Kartik Talwar",California,Mostly Follow,-,Software / Code,Seed,-,-,-,"Marketplaces
Web3 / Blockchain
Privacy & Security
AI / ML
Data & Analytics
Financial Services / Payments
SaaS",-,https://www.linkedin.com/company/a-capital-ventures/,https://www.crunchbase.com/organization/capital-partners-l-p
AAF Management,"Focused on Pre-Seed, Seed and Series A stage technology companies in North America. The firm is sector agnostic but has a core focus on Fintech, Enterprise SaaS, Digital Healthcare, E-Commerce and Deep Tech investments.",https://aaf.vc/,https://aaf.vc/contact-us/,"Kyle Hendrick, Omar Darwazah, Evan Hendrick, Omar Allabadi",District of Columbia,Mostly Follow,"$250-500k
$500k-1m",Agnostic,"Pre-Seed
Seed",< 5%,Agnostic,Series A,-,-,https://www.linkedin.com/company/aafmanagement/,https://www.crunchbase.com/organization/aafmanagement
Able Partners,"We aim to support passionate entrepreneurs building visionary brands in positive living that will make the daily lives of consumers healthier, happier and more meaningful.",https://ablepartners.nyc/,info@ablepartners.nyc,"Amanda Eilian, Lisa Blau, Alison Ryu",New York,Mostly Follow,-,Software / Code,Seed,-,-,-,"Healthcare
Social / Communities",-,https://www.linkedin.com/company/ablepartners,https://www.crunchbase.com/organization/able-partners
Abstract Ventures,"Abstract Ventures is a sector agnostic venture investor in pre-seed, seed, and series A startup companies.",http://www.abstract.vc/,admin@abstractvc.com,"Ramtin Naimi, Alex Davidov",California,Can Lead,-,Agnostic,"Pre-Seed
Seed
Series A",-,-,-,"Biotech
Web3 / Blockchain
SaaS
Healthcare
Financial Services / Payments
Consumer Goods",-,https://www.linkedin.com/company/abstract-ventures,https://www.crunchbase.com/organization/a-list-ventures
Abstraction Capital,Early stage capital for technical founders building technical tools.,https://abstraction.vc/,info@abstraction.vc,Taylor Clauson,Missouri,"Mostly Follow
Can Lead","$250-500k
$100-250k",Software / Code,"Pre-Seed
Seed",No Target,B2B,-,"IaaS
AI / ML
Data & Analytics",-,https://www.linkedin.com/company/abstraction-capital,https://www.crunchbase.com/organization/abstraction-capital
Acadian Ventures,Specialist fund focused on Future of Work,https://www.acadianventures.com/,hello@acadianventures.com,-,New York,Mostly Follow,"$250-500k
$500k-1m",Software / Code,"Pre-Seed
Seed
Series A",5-7%,B2B,-,Future of Work,-,,
Accel,Accel is a leading venture capital firm that invests in people and their companies from the earliest days through all phases of private company growth.,http://www.accel.com/,-,"Joy Armony, Varun Purandare, Julien Bek, Sonali De Rycker, Rich Wong , Rishi Dogra, Prayank Swaroop, Anand Daniel, Philippe Botteri, Arthur Patterson, Jim Swartz, Eric Wolford, Ajay Sethi, Alex Estevez",California,Mostly Lead,-,Agnostic,"Seed
Series A",-,-,Pre-Seed,"SaaS
Consumer Goods
Healthcare
Advertising & Media
Privacy & Security",-,https://www.linkedin.com/company/accel-vc,https://www.crunchbase.com/organization/accel
Accelr8,"ACCELR8 is an impact fund investing to accelerate the reduction and sequestration of greenhouse gases. We partner with exceptional founders to take on the most significant, and unmet, challenges to our climate.",https://www.accelr8.com/,info@accelr8.com,"Dwight Poler, Louis Kang, Justin Kern",Massachusetts,Mostly Follow,-,Agnostic,Seed,-,-,-,"CleanTech / Impact / Sustainability
Energy",-,https://www.linkedin.com/company/accelr8/,https://www.crunchbase.com/organization/accelr8
Access Ventures,"Access Ventures invest across asset classes with focus on saas, operating orgs, and real estate.",http://accessventures.org/,info@accessventures.org,Bryce Butler,Kentucky,Mostly Follow,-,Agnostic,Seed,-,-,-,"SaaS
Real Estate",-,https://www.linkedin.com/company/access-ventures,https://www.crunchbase.com/organization/access-ventures
Accion Venture Lab,Accion Venture Lab is a leading global early-stage investor in inclusive fintech startups.,http://www.accion.org/venturelab,info@accion.org,"Paolo Limcaoco, Amee Parbhoo, Ishan Mishra, Rahil Rangwala, Liza Curcio-Rudy, Sarah Sassoon, Sebastian Molina Gasman, Jasiel Martin-Odoom, Matt Schaar",District of Columbia,Mostly Follow,$500k-1m,Software / Code,Seed,"5-7%
7-10%",Agnostic,-,"Financial Services / Payments
Future of Work
Marketplaces",-,https://www.linkedin.com/showcase/accion-venture-lab,https://www.crunchbase.com/organization/venture-lab
Accomplice,"We invest in extraordinary people with big ideas across many industries, including cybersecurity, eSports, data analytics, SMB class software, emerging hardware platforms, and marketplaces.",https://accomplice.co/,hello@accomplice.co,"Jeff Fagnan, Ryan Moore, Saneel S., Samuel Clemens, Sarah Downey",Massachusetts,Can Lead,-,Agnostic,"Seed
Series A",-,-,-,"Privacy & Security
SaaS
Data & Analytics
Hardware
Marketplaces",-,https://www.linkedin.com/company/accomplice-vc,https://www.crunchbase.com/organization/accomplice-atlas-venture
Acequia Capital (AceCap),We are at the center of a global ecosystem that attracts and fuels the technical founders and product teams building the next wave of global businesses.,http://acecap.com/,info@acecap.com,"Hank Vigil, Marc Jalabert, Leif Danielsen, Charlie Songhurst",Washington,Mostly Lead,-,Agnostic,Seed,-,-,Pre-Seed,"Social / Communities
Education
Healthcare
Web3 / Blockchain",-,https://www.linkedin.com/company/acequia-capital/,https://www.crunchbase.com/organization/acequia-capital
Acies Investments,"Industry-dedicated venture capital to the sports wagering & sports technology, iGaming and esports industries. ",https://aciesinvestments.com/,Info@aciesacq.com,"Dan Fetters, Edward King, Chris Grove, Jim Murren",California,Mostly Follow,-,Software / Code,"Seed
Series A",-,-,-,Gaming,-,https://www.linkedin.com/company/acies-investments,https://www.crunchbase.com/organization/acies-investments
Acre Venture Partners,We invest in companies creating fundamental change in food and agriculture in order to address large scale problems in human and climate health.,http://acre.vc/,hello@acre.vc,"Bill Helman, Lucas Mann, Gareth Asten, Alex Bondar, Jeffrey Dunn, Sam Kass",California,Mostly Lead,"> $3m
$1-3m
$500k-1m",Agnostic,"Seed
Series A","10-12%
7-10%
5-7%",Agnostic,"Pre-Seed
Series B","CleanTech / Impact / Sustainability
Food & Beverages
Agriculture & Farming
Biotech
Consumer Goods
FoodTech
Natural Resources",-,https://www.linkedin.com/company/acre-venture-partners-lp/,https://www.crunchbase.com/organization/acre-venture-partners
Acrew Capital,We engage in long-term partnerships with world-class teams that are uniquely suited to transform big challenges into bigger opportunities.,https://acrewcapital.com/,hello@acrewcapital.com,"Theresia Gouw, Asad Khaliq, Lauren Kolodny, Mark Kraynak, Vishal Lugani, Maitree Mervana Parekh, Richard Wolpert",California,Mostly Lead,"$1-3m
> $3m","Software / Code
Services","Seed
Series A",-,-,-,"Financial Services / Payments
Privacy & Security
Data & Analytics
Web3 / Blockchain
Social / Communities",-,https://www.linkedin.com/company/acrew-capital/,https://www.crunchbase.com/organization/acrew-capital
Acronym Venture Capital,Our focus is to invest in B2B SaaS and Omni-channel Consumer companies at the Late Seed and Early Series A that have achieved a minimum of $1m in ARR at the time of our investment. We primarily invest in US and Canadian companies. ,https://acronymvc.com/,-,"Joshua B. Siegel, Mat Kaliski",Florida,Mostly Lead,-,Agnostic,"Seed
Series A",No Target,B2B,-,"SaaS
Travel & Tourism
Financial Services / Payments
Real Estate
Food & Beverages",-,https://www.linkedin.com/company/acronymvc,https://www.crunchbase.com/organization/acronym-venture-capital
Activant Capital,Activant is a global investment firm that partners with high-growth companies that seek to transform commerce.,http://activantcapital.com/,info@activantcapital.com,"Steve Sarracino, Shawn Jung, Maximilian Mayer, Andrew Steele, David Yang",Connecticut,Mostly Follow,> $3m,Agnostic,"Series B
Growth",-,-,-,"E-Commerce
Industrial & Manufacturing
Financial Services / Payments
AI / ML",-,http://www.linkedin.com/company/5182582,https://www.crunchbase.com/organization/activant-capital
Active Capital,Active Capital is a seed-stage venture firm for ambitious founders building the future of cloud infrastructure and B2B SaaS.,http://www.activecapital.com/,info@activecapital.com,"Pat Matthews, Cat Dizon",Texas,Mostly Lead,"$100-250k
$250-500k
$500k-1m",Software / Code,"Seed
Series A",-,B2B,Pre-Seed,SaaS,-,https://www.linkedin.com/company/activecapital,https://www.crunchbase.com/organization/active-capital
Active Impact Investments,"We provide capital and talent to accelerate the growth of early-stage climate tech ventures catalyzing the transition from finite to infinite sources of energy, food, water & products. Our four primary investment verticals are Clean Energy & Transportation, Infrastructure & Carbon Solutions, Sustainable Food & Water, and Circular & Sharing Economy.",https://www.activeimpactinvestments.com/,Please fill out our form at https://www.activeimpactinvestments.com/entrepreneur,,British Columbia,Can Lead,"$500k-1m
$1-3m","Agnostic
Software / Code
Services","Pre-Seed
Seed
Series A",No Target,B2B,-,"CleanTech / Impact / Sustainability
Energy
Food & Beverages
Agriculture & Farming
SaaS",-,https://www.linkedin.com/company/activeimpactinvestments/,https://www.crunchbase.com/organization/active-impact-investments
Acumen America,"WE PROVIDE CATALYTIC CAPITAL, AND HANDS-ON SUPPORT TO SCALE HIGH-IMPACT COMPANIES ACROSS THREE SECTORS: HEALTH, FINANCIAL INCLUSION, WORKFORCE DEVELOPMENT",https://acumen.org/america,mmakkawi@acumen.org,"Amon Anderson, Catherine Casey Nanda, Eliza Golden Roady",California,Mostly Follow,"Up to $25k
$25-100k
$100-250k
$250-500k
$500k-1m",Agnostic,"Pre-Seed
Seed
Series A",-,-,-,"Healthcare
Financial Services / Payments
Biotech",-,https://www.crunchbase.com/organization/acumen-america-b7c1,
Adapt Ventures,We’re an early-stage venture capital firm and venture studio investing in and building groundbreaking companies across the US and Latin America.,http://www.adaptvc.co/,info@adaptvc.co,"Ammar Amdani, Mohammed Amdani",New York,Mostly Follow,-,Agnostic,Seed,-,-,-,"Financial Services / Payments
SaaS
Real Estate
E-Commerce
Marketplaces
Consumer Goods",-,https://www.linkedin.com/company/adaptvc/,https://www.crunchbase.com/organization/adapt-ventures
Addition,Addition invests in early and growth stage technology companies. The firm was founded with a mission to support visionary entrepreneurs on their journey to build impactful and enduring businesses.,https://addition.com/,-,-,New York,Mostly Lead,-,-,Series A,-,-,-,-,-,https://www.linkedin.com/company/additionvc,https://www.crunchbase.com/organization/addition-7af4
Advancit Capital,"Advancit Capital is a venture firm investing in media, technology
and web3 startups.",http://www.advancitcapital.com/,info@advancitcap.com,"Shari Redstone, Jason Ostheimer",Massachusetts,Mostly Follow,-,Software / Code,"Seed
Series A",-,-,-,"Advertising & Media
Web3 / Blockchain
Healthcare",-,https://www.linkedin.com/company/2992821?trk=tyah&trkInfo=clickedVertical%3Acompany%2CclickedEntityId%3A2992821%2Cidx%3A1-1-1%2CtarId%3A1439848986804%2Ctas%3AAdvancit%20Capital,https://www.crunchbase.com/organization/advancit-capital
Advantage Capital,Advantage Capital Funds provides financing to established and emerging companies located in communities underserved by conventional sources of capital.,http://www.advantagecap.com/,info@advantagecap.com,"Brian Anderson, Tom Bitting, Ryan Dressler, Anne Johnson, Julie Laperouse, Franchesca Lorio, Tim Perusek, Josh Rogers, Greg Schwarztrauber, Steven Stull, Tony Toups",Louisiana,Mostly Follow,-,Agnostic,"Series A
Series B",-,-,-,"Financial Services / Payments
Industrial & Manufacturing
Food & Beverages
Hardware
Biotech",-,https://www.linkedin.com/company/advantagecapital/,https://www.crunchbase.com/organization/advantage-capital-partners
Afore Capital,Afore Capital is a $300 million fund co-founded by Anamitra Banerji & Gaurav Jain to support product-oriented founders at the very earliest stage (pre-seed). ,http://afore.vc/,Get a warm intro,"Gaurav Jain, Anamitra Banerji",California,Mostly Lead,$1-3m,Software / Code,Pre-Seed,10-12%,Agnostic,Seed,"Future of Work
Financial Services / Payments
Data & Analytics
AI / ML
Biotech
CleanTech / Impact / Sustainability
E-Commerce
Education
Healthcare
IaaS
SaaS",-,https://www.linkedin.com/company/aforecapital,https://www.crunchbase.com/organization/afore-capital
AgFunder,AgFunder is a Bay Area VC firm investing in exceptional and bold entrepreneurs who are aiming to build the next generation of great food tech and agtech companies.,http://agfunder.com/,info@agfunder.com,"Michael Dean, Manuel Gonzalez, Rob Leclerc, Tom Shields",California,Mostly Lead,"$25-100k
$100-250k
$250-500k
$500k-1m",Agnostic,"Seed
Series A",-,-,Series B,"Agriculture & Farming
Food & Beverages",-,http://www.linkedin.com/company/agfunder,https://www.crunchbase.com/organization/agfunder
AI Fund,"We are a team of AI pioneers, proven entrepreneurs, seasoned operators, and venture capitalists that collaborates with leading entrepreneurs to solve big challenges using artificial intelligence. ",https://aifund.ai/,contact@aifund.ai,"Andrew Ng, Eva Wang",California,Can Lead,-,Software / Code,Seed,-,-,-,AI / ML,-,https://www.linkedin.com/company/aifund/,https://www.crunchbase.com/organization/andrew-ng-ai-fund
AIN Ventures,We are a pre-seed and seed-stage focused venture fund that invests in dual-use technology and veteran-led startups ,https://www.ainventures.com/,academyinvestornetwork@gmail.com,"Sherman Williams Ii, Emily Mcmahan",New York,Mostly Follow,-,Agnostic,"Pre-Seed
Seed",-,-,-,"Healthcare
AI / ML
Privacy & Security
Hardware",-,https://www.linkedin.com/company/academy-investor-network/,https://www.crunchbase.com/organization/academy-investor-network
Airbus Ventures,"Airbus Ventures invests in autonomous mobility, electrification, low-carbon economy, advanced materials, manufacturing systems, next-generation computing, sensing, security, and beyond.",http://www.airbusventures.vc/,office@airbusventures.vc,"Thomas D’Halluin, Lewis Pinault, Nicole Conner, Mathieu Costes, Claas Kohl, Matthieu Repellin, Yuichiro Hikosaka",California,Mostly Follow,-,Agnostic,"Seed
Series A
Series B
Growth",-,-,-,"CleanTech / Impact / Sustainability
Industrial & Manufacturing
Privacy & Security
Hardware
Biotech",-,https://www.linkedin.com/company/airbus-ventures/,https://www.crunchbase.com/organization/airbus-ventures
